001-100237;14;128;350;90;193;445;440;444;110;448;30;220;216
001-100238;354;369;304;451;268;376;426;216
001-100239;343;100;369;311;445;40;41;444;110
001-100240;572;9;545;546;216
001-100241;445;183;177;216;577;283
001-100242;
001-100243;445;40;385;125;136;119;216
001-100244;343;100;444;110;449;231;496;4;335;216
001-100245;451;425;203;268;333;329;354;216;213;350
001-100246;183;498;445;41;406;216
001-100254;354;369;62;444;110;451;268;329;333;391;426
001-100255;183;498;369;304;445;7;113;406;216
001-100256;
001-100257;
001-100258;
001-100259;
001-100260;
001-100262;
001-100263;445;444
001-100264;445;444
001-100265;449;595;231;350;90;193;492;121;594;216;577;283;305
001-100266;449;595;231;350;90;193;492;121;594;216;577;283;305
001-100267;445
001-100268;445
001-100269;445;40;406;216
001-100271;350;90;192;193;448;438;481
001-100272;350;90;192;193;448;438;481
001-100273;444;110;445;40;406;451;425;310;216
001-100275;
001-100276;
001-100277;448;93;451;429;203;216
001-100279;445;76;136;406;216
001-100281;448;220;598;216
001-100283;445;444
001-100284;445;444
001-100285;449
001-100286;449
001-100287;
001-100288;
001-100289;445
001-100290;445
001-100291;448;45;216
001-100292;448;45;216
001-100293;183;498;451;429;203;268;262;329;376;391;319;558;556;354
001-100296;149
001-100297;451;425;343;44;100;413;14;128
001-100298;445;40;388;216
001-100299;350;90;596;193;492;121;594;216;577;283
001-100300;
001-100301;
001-100302;
001-100303;
001-100304;154;153;310;343;100;350;90;193;449;231;276;451;203;268;376;429;216
001-100305;350
001-100306;350
001-100307;445;13;406;444;110;216;26;638;636
001-100309;444;110;451;425;203;268;262;338;437;354;216
001-100314;445;40;406;609;478;59;216;69;283
001-100315;14;128;183;308;350;90;444;216
001-100316;145;146;151;266;260;328;332;149;148;156;265;259;327;331;444;110;451;203;268;262;329;333;319;429;216
001-100317;343;44;100;464;292;349;284;354;445;76;216
001-100318;145;151;266;332;375
001-100319;350;193;449;231;496;216
001-100323;14;128;445;40;57;406;444;110;216
001-100325;350;90;596;193;633;154;152;237;343;100;216;577;283
001-100326;445;7;76;85;385;296;216
001-100327;354;369;321;94;445;7;40;180;181;343;216
001-100328;
001-100329;350;90;193;451;634;429;14;128;216;26;126;243;354
001-100330;14;128;109;145;146;317;216
001-100331;149;148;157;158;201;316;216
001-100332;288;536;291;434;216
001-100333;14;398;400;238;343;100;258;451;203;429;216
001-100334;445;136;70;162
001-100335;445;76;136;122;216
001-100336;369;94;387;238;354;216
001-100337;350;193;192;448;474;45;451;424;14;128;109;216
001-100338;445;13;406;216
001-100339;445;41;406;216
001-100340;451;429;425;343;100;26
001-100342;445;40;136;406;444;216
001-100344;183;498;451;429;203;268;262;329;376;391;319;558;556;354
001-100345;343;100;350;89;90;192;193;444;110;451;429;216
001-100346;445;40;7;181;369;304;444;451;216
001-100348;343;100;349;139;284;369;304
001-100349;445;40;406;216
001-100350;444;110;445;40;406;451;425;310;216
001-100351;448;93;451;429;203;216
001-100352;445;76;136;406;216
001-100353;448;220;598;216
001-100354;445;13;406;444;110;216;26;638;636
001-100355;444;110;451;425;203;268;262;338;437;354;216
001-100356;149;382;444;23;110;451;203;319;424;429;343;216
001-100357;350;90;193;14;128;310;216
001-100359;445
001-100360;445
001-100361;350;90;193;14;128;310;216
001-100375;350;90
001-100376;350;90
001-100377;350;596;492;121;523;216;577;283
001-100379;350
001-100380;350
001-100381;350
001-100382;350
001-100383;449;595;231;149;148;201;265;331;316;444;110;14;128;216
001-100384;449;595;231;149;148;201;265;331;316;444;110;14;128;216
001-100385;448;445
001-100386;448;445
001-100387;445;40;7;216
001-100389;445
001-100390;445
001-100391;445
001-100392;445
001-100393;445
001-100394;445
001-100395;445
001-100396;445
001-100398;445;444
001-100399;445;444
001-100401;445
001-100402;445
001-100404;145;151;202;266;183;498;14;128;354;216
001-100407;445
001-100408;445
001-100409;14;128;445;13;7;216
001-100413;445;76;406;444;110;14;128;216
001-100414;445
001-100415;445
001-100416;445
001-100417;445
001-100418;445
001-100419;445
001-100421;445;76;406;444;110;14;128;216
001-100425;14;128;445;13;7;216
001-100427;350;596;492;121;523;216;577;283
001-100429;445;40;7;216
001-100433;216;577;283;305;26;126;243
001-100439;216;577;283;305;26;126;243
001-100440;445
001-100441;445
001-100442;445
001-100443;445
001-100444;
001-100445;
001-100446;
001-100447;
001-100448;149;158;161;201;316;452;216
001-100449;149;158;161;201;316;452;216
001-100454;145;151;202;266;183;498;14;128;354;216
001-100457;149;148;157;265;488;566;150;219;610;79;354;571;433;483;233;343;216
001-100461;445;40;406;14;621
001-100462;445;40;406;14;621
001-100463;451;429;238;310
001-100464;451;429;238;310
001-100468;451;425;429;238;310;216
001-100469;451;425;429;238;310;216
001-100470;445
001-100471;445
001-100472;445
001-100473;445
001-100477;445
001-100478;445
001-100481;350
001-100482;350
001-100483;445;444
001-100484;445;444
001-100485;350;618;193;26;126;184;448;93;216
001-100487;445
001-100488;445
001-100489;451
001-100490;451
001-100492;451;425;216
001-100497;451;425;216
001-100498;343;44;100;298;451;429
001-100499;343;44;100;298;451;429
001-100500;445;40;7;216
001-100501;445;40;7;216
001-100502;445;76;136;385;216
001-100503;445;76;136;385;216
001-100504;448;227;404
001-100505;448;227;404
001-100506;445;76;180
001-100507;445;76;180
001-100508;451;426;268;376;354;216
001-100509;451;426;268;376;354;216
001-100510;183;498;451;429;238;310
001-100511;183;498;451;429;238;310
001-100512;350;618;193;26;126;184;448;93;216
001-100513;445
001-100514;445
001-100515;445
001-100516;445
001-100517;445
001-100518;445
001-100521;445
001-100523;183;498;310;349;54;139;463;216
001-100524;445
001-100525;445;113;7;369;304
001-100526;445;113;7;369;304
001-100528;445
001-100531;445
001-100532;445
001-100533;445
001-100535;445
001-100537;445
001-100540;445
001-100541;445
001-100543;451
001-100545;451
001-100546;445
001-100547;445
001-100548;
001-100550;350;444
001-100551;149
001-100552;149
001-100553;149
001-100554;149
001-100555;149
001-100556;149
001-100557;149;148
001-100558;149;148
001-100559;445
001-100560;445
001-100561;445
001-100562;445
001-100563;350
001-100564;350
001-100565;449
001-100566;449
001-100567;
001-100568;
001-100569;350;90;596;193
001-100570;350;90;596;193
001-100580;343;100;350;89;90;444;110;451;425;216
001-100581;149;148;316;265;379;238;354;145;574;499;476
001-100582;369;304;62;167;509;354;238;445;70;41
